n,T(n),"log(n,10)","T(n)/math.log(n,10)",n,T(n)/n,n**2,T(n)/n**2,n**3,T(n)/n**3,2**n,T(n)/2**n
10,6.900000000000794e-05,1.0,6.900000000000794e-05,10,6.900000000000794e-06,100,6.900000000000794e-07,1000,6.900000000000794e-08,1024,6.738281250000775e-08
20,0.00030100000000000683,1.301029995663981,0.00023135515783891775,20,1.5050000000000342e-05,400,7.52500000000017e-07,8000,3.7625000000000855e-08,1048576,2.8705596923828776e-10
30,0.0008139999999999925,1.4771212547196624,0.0005510718889184752,30,2.7133333333333083e-05,900,9.044444444444361e-07,27000,3.014814814814787e-08,1073741824,7.580965757369925e-13
40,0.0018808000000000158,1.6020599913279623,0.0011739884961742308,40,4.7020000000000393e-05,1600,1.17550000000001e-06,64000,2.9387500000000246e-08,1099511627776,1.7105776350945378e-15
50,0.003361599999999998,1.6989700043360185,0.001978610564883845,50,6.723199999999996e-05,2500,1.3446399999999992e-06,125000,2.6892799999999984e-08,1125899906842624,2.9857005756639392e-18
60,0.005143799999999999,1.7781512503836434,0.0028927797896214974,60,8.572999999999998e-05,3600,1.428833333333333e-06,216000,2.3813888888888883e-08,1152921504606846976,4.461535307864749e-21
70,0.0074153999999999835,1.845098040014257,0.00401897343077915,70,0.00010593428571428547,4900,1.5133469387755067e-06,343000,2.1619241982507242e-08,1180591620717411303424,6.281088117069525e-24
80,0.01189119999999999,1.9030899869919433,0.006248364544650579,80,0.00014863999999999988,6400,1.8579999999999986e-06,512000,2.322499999999998e-08,1208925819614629174706176,9.836170099990555e-27
90,0.015330399999999966,1.9542425094393248,0.00784467635206558,90,0.0001703377777777774,8100,1.8926419753086378e-06,729000,2.1029355281207087e-08,1237940039285380274899124224,1.2383798498713777e-29
100,0.020575799999999967,2.0,0.010287899999999984,100,0.00020575799999999968,10000,2.057579999999997e-06,1000000,2.0575799999999968e-08,1267650600228229401496703205376,1.623144421364647e-32
