n,T(n),"log(n,10)","T(n)/math.log(n,10)",n,T(n)/n,n**2,T(n)/n**2,n**3,T(n)/n**3,2**n,T(n)/2**n
10,1.5600000000015602e-05,1.0,1.5600000000015602e-05,10,1.5600000000015601e-06,100,1.5600000000015603e-07,1000,1.56000000000156e-08,1024,1.5234375000015236e-08
20,4.27999999999984e-05,1.301029995663981,3.289701247676108e-05,20,2.13999999999992e-06,400,1.06999999999996e-07,8000,5.3499999999998e-09,1048576,4.081726074218597e-11
30,8.679999999998689e-05,1.4771212547196624,5.876294835149492e-05,30,2.8933333333328962e-06,900,9.644444444442987e-08,27000,3.2148148148143294e-09,1073741824,8.083879947661133e-14
40,0.00014079999999999648,1.6020599913279623,8.788684616191311e-05,40,3.519999999999912e-06,1600,8.79999999999978e-08,64000,2.1999999999999453e-09,1099511627776,1.280568540096251e-16
50,0.00020120000000000137,1.6989700043360185,0.00011842469230563795,50,4.024000000000027e-06,2500,8.048000000000055e-08,125000,1.6096000000000109e-09,1125899906842624,1.787014980436664e-19
60,0.0003048000000000051,1.7781512503836434,0.00017141398963347085,60,5.080000000000084e-06,3600,8.466666666666807e-08,216000,1.4111111111111346e-09,1152921504606846976,2.643718577388698e-22
70,0.00037799999999997834,1.845098040014257,0.00020486716250430658,70,5.399999999999691e-06,4900,7.714285714285272e-08,343000,1.1020408163264675e-09,1180591620717411303424,3.201784540621072e-25
80,0.0005574000000000634,1.9030899869919433,0.0002928920880305295,80,6.967500000000793e-06,6400,8.70937500000099e-08,512000,1.0886718750001238e-09,1208925819614629174706176,4.610704734371101e-28
90,0.0006208000000000435,1.9542425094393248,0.00031766784163248603,90,6.897777777778261e-06,8100,7.664197530864734e-08,729000,8.515775034294149e-10,1237940039285380274899124224,5.014782463603082e-31
100,0.0007402000000000797,2.0,0.00037010000000003984,100,7.402000000000797e-06,10000,7.402000000000796e-08,1000000,7.402000000000797e-10,1267650600228229401496703205376,5.839148420446558e-34
